Business Name,Product Categories,Products,Regions Served,Address,Contact Name,Phone,Email,Distributors,Website,Is this a small business?,Is this a socially disadvantaged business?,Animal Protein: USDA certified and/or custom 5a with small enterprise exemption (animal protein only),Freezer trade available,Certifications
"Perfectly Blended Farm
",Produce,"Vegetables, fruit, beef, eggs, honey, maple syrup",,"3819 Riceville Rd, Machias, NY 14101",Melissa Keller,(716) 258-0645,Perfectlyblendedfarm@gmail.com,,,checked,checked,,,
Perfectly Blended Farm,Animal Protein,"Vegetables, fruit, beef, eggs, honey, maple syrup",,"3819 Riceville Rd, Machias, NY 14101",Melissa Keller,(716) 258-0645,Perfectlyblendedfarm@gmail.com,,,checked,checked,,,
Perfectly Blended Farm,Honey,"Vegetables, fruit, beef, eggs, honey, maple syrup",,"3819 Riceville Rd, Machias, NY 14101",Melissa Keller,(716) 258-0645,Perfectlyblendedfarm@gmail.com,,,checked,checked,,,
Perfectly Blended Farm,Maple Syrup,"Vegetables, fruit, beef, eggs, honey, maple syrup",,"3819 Riceville Rd, Machias, NY 14101",Melissa Keller,(716) 258-0645,Perfectlyblendedfarm@gmail.com,,,checked,checked,,,
"Plato Dale Farm, LLC
",Produce,"Grassfed Beef, Organic Chicken, Organic Eggs, 50 varieties organic vegetables",Western NY,"6009 Curriers Road, Arcade, NY  14009",Kent Miller,(716) 913-1351,kent@platodalefarm.com,,,checked,,Yes,Yes,USDA Organic
"Plato Dale Farm, LLC",Animal Protein,"Grassfed Beef, Organic Chicken, Organic Eggs, 50 varieties organic vegetables",Western NY,"6009 Curriers Road, Arcade, NY  14009",Kent Miller,(716) 913-1351,kent@platodalefarm.com,,,checked,,Yes,Yes,USDA Organic
"Prestons Farms
",Produce,Gala and Honeycrisp apples ,"Western NY,Finger Lakes,Southern Tier","14846 Zig Zag Rd, Albion, NY 14411",Molly Preston,(585) 590-6820,Prestonsfarms@yahoo.com,H. H. Dobbins Inc ,,checked,,,,GAPS certified
"Dagele Produce, Inc.
",Produce,"Lettuce, Onions, Potatoes, Herbs, Beets, Beans, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Collard Greens, Sweet Corn, Cucumber, Eggplant, Garlic, Kale, Leeks, Parsley, Apples, Parsnips, Peppers, Radish, Scallions, Shallots, Spinach, Swiss Chard, Tomato, Turnips, Squash ","Finger Lakes,Central NY,Southern Tier,Mohawk Valley,Capital Region,Mid Hudson,NY City","40 Stream Dr, Florida, NY 10921",Frank Dagele,(845) 651-4590,office@dagelebrothersproduce.com,Gargiulo Produce,,checked,,,,"GAPS certified,FSMA or other food safety plan available"
"Happy Valley Meat Co
",Animal Protein,Beef,"Western NY,Finger Lakes,Southern Tier,Central NY,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","Happy Valley Meat Company, PO Box 220377, Brooklyn, NY 11222",Daniel Honig,(201) 632-1613,dan@happyvalleymeat.com,Julius Silvert,,checked,,Yes,Yes,
"Letterbox Farm
",Animal Protein,"Poultry, eggs, pork","North Country,Capital Region,Mid Hudson,NY City","4161 Route 9, Hudson, NY 12534",Nichki Carangelo,(203) 560-0322,info@letterboxfarm.com,,,checked,checked,Yes,Yes,
"Cornerstone Orchards LLC
",Produce,"Apples, Pears, Peaches, Cherries, Plums","Western NY,Southern Tier","1647 Youngstown Wilson Rd, Youngstown, NY 14174",Caitlin LoVullo,(716) 336-6875,Cornerstoneorchard@gmail.com,"Produce Peddlers, Braymillers",,checked,,,,FSMA or other food safety plan available
"5 Loaves Farm
",Produce,Fruits and vegetables,Western NY,"140 Dewitt St, Buffalo, NY 14213",Matt Kauffman,(716) 803-9241,kauffman.m@gmail.com,,,checked,,,,Organic but not USDA certified
"Davjen Farm LLC
",Animal Protein,Grass Fed and Finished Beef,Central NY,"8641 Wratten Road, Hubbardsville, NY 13355",David Dietrich,(518) 526-0716,grazeny@gmail.com,,,checked,,Yes,Yes,"Organic but not USDA certified,Certified Grassfed by AGW"
"Kate Mountain Farm LLC
",Animal Protein,"Mangalitsa and Berkshire pork products; chickens, eggs, turkeys; vegetables; fresh sausages",,"9137 State Route 3 Vermontville, NY 12989",Aaron Caiazza,(518) 891-2940,info@katemountainfarm.com,,,checked,,,,
Kate Mountain Farm LLC,Produce,"Mangalitsa and Berkshire pork products; chickens, eggs, turkeys; vegetables; fresh sausages",,"9137 State Route 3 Vermontville, NY 12989",Aaron Caiazza,(518) 891-2940,info@katemountainfarm.com,,,checked,,,,
"The Hub on The Hill, Inc.
",Produce,"Vegetables, Fruit, Value-Added, Meat","North Country,Capital Region","545 Middle Rd, Essex, NY 12936",Kim LaReau,(518) 578-1881,kim@thehubonthehill.org,Self-distribute,,checked,checked,Yes,Yes,
"The Hub on The Hill, Inc.
",Animal Protein,"Vegetables, Fruit, Value-Added, Meat","North Country,Capital Region","545 Middle Rd, Essex, NY 12936",Kim LaReau,(518) 578-1881,kim@thehubonthehill.org,Self-distribute,,checked,checked,Yes,Yes,
"The Hub on The Hill, Inc.",Other,"Vegetables, Fruit, Value-Added, Meat","North Country,Capital Region","545 Middle Rd, Essex, NY 12936",Kim LaReau,(518) 578-1881,kim@thehubonthehill.org,Self-distribute,,checked,checked,Yes,Yes,
"Ironwood Farm
",Produce,Certified Organic Vegetables and Herbs,Mid Hudson,"P.O. Box 21, Mellenville, NY 12544",Lauren Jones,(316) 253-1511,farmers@ironwood.farm,,,checked,checked,,,USDA Organic
"Tiny Greens Farm LLC
",Produce,Microgreens and Shoots (Pea and Sunflower),Mid Hudson,"261 Shenandoah Road, Hopewell Junction NY 12533",Nicole Harris,(845) 206-8001,nicole@tinygreensfarm.com,,,checked,,,,Organic but not USDA certified
"Common Ground Farm
",Produce,Vegetables and herbs,Mid Hudson,"79 Farmstead Lane, Wappingers Falls, NY 12508",Katie Speicher,(717) 639-5967,farm@commongroundfarm.org,,,checked,checked,,,Organic but not USDA certified
"Fare View Gardens
",Produce,Wide variety of organic fruit & vegetables. ,Mid Hudson,"PO BOX 7, Fallsburg, NY 12733",Ryan Mitro,(207) 210-1733,Fareviewgardens@yahoo.com,,,checked,,,,Organic but not USDA certified
"Gade Farm LLC
",Produce,"Squash (summer and winter), Cucumbers, Peppers, Tomatoes, Eggplant, Cabbage, Broccoli, Cauliflower, Brussels Sprouts, Beans, Raspberries, Blueberries",Capital Region,"2479 Western Ave, Altamont, NY 12009",Jim Gade,(518) 365-6273,jim@gadefarm.com,"Hannaford, PriceChopper/Market32",,checked,,,,GAPS certified
"Banbury Cross Farm
",Animal Protein,"Beef: all cuts, ground, patties; Chicken: all cuts; Pork: all cuts, sausage, bacon, ground. ",Mid Hudson,"109 Coleman Rd, Goshen, NY 10924",Susan Cleaver,(845) 321-9054,banbury@frontiernet.net,Self-distribute,,checked,checked,Yes,,
"Fable: From Farm to Table
",Produce,"Tomatoes, eggs, microgreens, squash, more",Mid Hudson,"1311 Kitchawan Rd, Ossining, NY 10562",Tom Deacon,(914) 299-6173,tomdeacon@fablefoods.com,,,checked,,,,"Organic but not USDA certified,FSMA or other food safety plan available"
Fable: From Farm to Table,Other,"Tomatoes, eggs, microgreens, squash, more",Mid Hudson,"1311 Kitchawan Rd, Ossining, NY 10562",Tom Deacon,(914) 299-6173,tomdeacon@fablefoods.com,,,checked,,,,"Organic but not USDA certified,FSMA or other food safety plan available"
"Morning Star Poultry LLC
",Animal Protein,"Chicken, including diced, eight piece, and chicken strips","Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","188 Tanners Rd, Fort Plain, NY 13339",Reuben Fisher,(518) 941-4204,morningstarpoultry@emypeople.com,Headwater,,checked,checked,Yes,,"Organic but not USDA certified,Animal Welfare Approved by AGW"
"Somewhere In Time Farm LLC
",Produce,"Potatoes, Fingerling Potatoes, Garlic an Onions, Winter Greens, Tomatoes, Summer Greens, Root Vegetables, Squash/Zucchini, Cucumbers, Winter Squash, Herbs, Asparagus",Southern Tier,"108 Somewhere In Time Lane, Parksville, NY 12768",Justin Sutherland,(845) 807-8702,sutherland.ju@gmail.com,,,checked,,,,"Organic but not USDA certified,GAPS certified,FSMA or other food safety plan available"
"Ecological Citizen's Project, Inc.
",Produce,Fresh produce,Mid Hudson,"69 South Mountain Pass, Garrison, NY 10524",Jocelyn Apicello,(845) 514-6543,jocelyn.apicello@ecologicalcitizens.org,,,checked,,,,Organic but not USDA certified
"Veritas Farms
",Animal Protein,"Beef, pork, lamb, chicken, eggs, fruits, and vegetables",Mid Hudson,"32 Rousner Lane, New Paltz NY 12561",Paul Alward,(917) 992-8581,Paul@VeritasFarms.com,Self-distribute,,checked,,,,
Veritas Farms,Produce,"Beef, pork, lamb, chicken, eggs, fruits, and vegetables",Mid Hudson,"32 Rousner Lane, New Paltz NY 12561",Paul Alward,(917) 992-8581,Paul@VeritasFarms.com,Self-distribute,,checked,,,,
"Campanelli's Poultry Farm, Inc",Animal Protein,"All types of poultry, pork, lamb, and rabbits",Mid Hudson,"PO Box 227, Kenoza Lake, NY 12750",Tony Campanelli,(845) 482-2222,campanellifarms@gmail.com,,,checked,,Yes,,
Finger Lakes Farm Fresh Co-Op,Produce,"Lettuce, Potatoes, Carrots, Zuchinni, Shelled Peas, Watermelons, Tomatoes, Green Beans, Sweet corn, Onions, Cantaloupes, Sweet Potatoes, Peppers, Beets, Cauliflower, Broccoli, Winter Squash",Finger Lakes,"3620 Yautzy Rd, Canandaigua, NY 14424",Daryl Weaver,(315) 719-4611,darylweaver91@gmail.com,,,,,,,"USDA Organic,Organic but not USDA certified"
Bippert's Farms LLC,Produce,"Fruit, vegetables, beef, maple syrup, honey, apple cider","Western NY,Finger Lakes,Central NY","5240 Clinton St, Elma, NY 14059",Barbara Dygert,(716) 863-0957,bippertsfarms@yahoo.com,Self-distribute (Bippert's is a farm and a distributor),,checked,checked,Yes,,"GAPS certified,FSMA or other food safety plan available"
Bippert's Farms LLC,Honey,"Fruit, vegetables, beef, maple syrup, honey, apple cider","Western NY,Finger Lakes,Central NY","5240 Clinton St, Elma, NY 14059",Barbara Dygert,(716) 863-0957,bippertsfarms@yahoo.com,Self-distribute (Bippert's is a farm and a distributor),,checked,checked,Yes,,"GAPS certified,FSMA or other food safety plan available"
Bippert's Farms LLC,Maple Syrup,"Fruit, vegetables, beef, maple syrup, honey, apple cider","Western NY,Finger Lakes,Central NY","5240 Clinton St, Elma, NY 14059",Barbara Dygert,(716) 863-0957,bippertsfarms@yahoo.com,Self-distribute (Bippert's is a farm and a distributor),,checked,checked,Yes,,"GAPS certified,FSMA or other food safety plan available"
Bippert's Farms LLC,Apple Cider,"Fruit, vegetables, beef, maple syrup, honey, apple cider","Western NY,Finger Lakes,Central NY","5240 Clinton St, Elma, NY 14059",Barbara Dygert,(716) 863-0957,bippertsfarms@yahoo.com,Self-distribute (Bippert's is a farm and a distributor),,checked,checked,Yes,,"GAPS certified,FSMA or other food safety plan available"
Bippert's Farms LLC,Animal Protein,"Fruit, vegetables, beef, maple syrup, honey, apple cider","Western NY,Finger Lakes,Central NY","5240 Clinton St, Elma, NY 14059",Barbara Dygert,(716) 863-0957,bippertsfarms@yahoo.com,Self-distribute (Bippert's is a farm and a distributor),,checked,checked,Yes,,"GAPS certified,FSMA or other food safety plan available"
Red Barn Produce Inc.,Produce,"Fruit, vegetables",Mid Hudson,"217 Upper North Rd, Highland, NY, 12528",Kevin Terr,(914) 475-4508,kterrredbarnproduce@gmail.com,,,checked,checked,,,"GAPS certified,FSMA or other food safety plan available"
Angel Family Farm,Prepared Foods,Vegetables,"Mid Hudson,NY City","6 Harvest Ln, Goshen, NY 10924",Lizbeth Angel,(917) 690-4033,Angelfamilyfarm@gmail.com,,,checked,checked,,,
The Meadow Farmstead,Produce,"Mixed vegetables, especially greens",North Country,"1129 Stickney Bridge Road, Jay, NY 12941",Becca Burke,(614) 517-5551,Becca@themeadowfarmstead.com,Self distribute,,checked,checked,,,
Valley View Farms,Produce,Produce,Western NY,"8567 Route 240, Machias, NY 14101",Chelsey Nelson,(716) 801-1855,valleyviewfarms@hotmail.com,,,checked,,Yes,Yes,
Valley View Farms,Animal Protein,"Beef, Pork, Chicken",Western NY,"8567 Route 240, Machias, NY 14101",Chelsey Nelson,(716) 801-1855,valleyviewfarms@hotmail.com,,,checked,,Yes,Yes,
"Ecological Citizen's Project, Inc.
",Produce,Fresh produce,Mid Hudson,"69 South Mountain Pass, Garrison, NY 10524",Jocelyn Apicello,(845) 514-6543,jocelyn.apicello@ecologicalcitizens.org,,,checked,,,,Organic but not USDA certified
Veritas Farms,Animal Protein,"Beef, Pork, Lamb, Chicken, Eggs, Fruits, and Vegetables",Mid Hudson,"32 Rousner Lane, New Paltz, NY 12561",Paul Alward,(917) 992-8581,Paul@VeritasFarms.com,Self-distribute,,checked,,Yes,,
Veritas Farms,Produce,"Beef, Pork, Lamb, Chicken, Eggs, Fruits, and Vegetables",Mid Hudson,"32 Rousner Lane, New Paltz, NY 12561",Paul Alward,(917) 992-8581,Paul@VeritasFarms.com,Self-distribute,,checked,,Yes,,
"Campanelli's Poultry Farm, Inc.",Animal Protein,"All types of Poultry, Pork, Lamb, and Rabbits",Mid Hudson,"PO Box 227, Kenoza Lake, NY 12750",Tony Campanelli,(845) 482-2222,campanellifarms@gmail.com,,,checked,,Yes,Yes,
Finger Lakes Farm Fresh Co-op,Produce,"Lettuce, Potatoes, Carrots, Zuchinni, Shelled Peas, Watermelons, Tomatoes, Green Beans, Sweet corn, Onions, Cantaloupes, Sweet Potatoes, Peppers, Beets, Cauliflower, Broccoli, Winter Squash",Finger Lakes,"3620 Yautzy Rd, Canandaigua, NY 14424",Daryl Weaver,(315) 719-4611,darylweaver91@gmail.com,,,,,,,"USDA Organic,Organic but not USDA certified"
"Red Barn Produce, Inc.",Produce,Fruits and vegetables,Mid Hudson,"217 Upper North Rd, Highland, NY 12528",Kevin Terr,(914) 475-4508,kterrredbarnproduce@gmail.com,,,checked,checked,,,"GAPS certified,FSMA or other food safety plan available"
Angel Family Farm ,Produce,Vegetables ,"Mid Hudson,NY City","6 Harvest Ln, Goshen NY 10924",Lizbeth Angel,(917) 690-4033,Angelfamilyfarm@gmail.com,,,checked,checked,,,
Valley View Farms,Animal Protein,"Beef, Pork, Chicken, Produce",Western NY,"8567 Route 240, Machias, NY 14101",Chelsey Nelson,(716) 801-1855,valleyviewfarms@hotmail.com,,,checked,,Yes,Yes,
Valley View Farms,Produce,"Beef, Pork, Chicken, Produce",Western NY,"8567 Route 240, Machias, NY 14101",Chelsey Nelson,(716) 801-1855,valleyviewfarms@hotmail.com,,,checked,,Yes,Yes,
Hodgson Farms,Produce,"Tomatoes, Peppers, Cucumbers, Cauliflower, Broccoli ","Central NY,Southern Tier,Mohawk Valley,Capital Region,Mid Hudson,NY City","3345 River Road, Downsville, NY 13755",Rich,(845) 629-6762,hrfd1948@gmail.com,,,checked,,,,FSMA or other food safety plan available
"La Belle Farm, Inc. ",Animal Protein,"Poultry (Duck, Chicken)","Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","504 Stanton Corners Rd, Ferndale, NY 12734",Sergio Saravia,(845) 292-0000,sergioasaravia@gmail.com,"Baldor, Bella Bella Gourmet ",,checked,checked,Yes,Yes,
Slate Foods,Distributor,"Beef (ground, patties, hot dogs, tenderloin, meatballs, stew meat, roast beef), Pork (loin chops, shoulder/picnic, ground), Maple syrup, Eggs, Cheese (mozzarella, ricotta, string cheese)","Statewide,Mid Hudson,Capital Region,Central NY,North Country,Western NY,Finger Lakes,Southern Tier,Mohawk Valley,Long Island,NY City",,Julia VanLoon,(917) 301-5562,julia@slatefoods.com,Self-distribute,http://slatefoods.com/,checked,,Yes,Yes,
HumbleBee Farms,Produce,"Hydroponic greens and herbs including romaine, salad mix, kale, basil. ","Central NY,North Country","4012 Center St, Lyons Falls, NY 13368",Kristin Cunningham,(858) 442-7550,info@humblebeefarms.org,Self Distribute,,checked,checked,,,
Hill Top Farm,Maple Syrup,Maple syrup,"North Country,Capital Region,Mid Hudson","7256 RT 22, West Chazy, NY 12992",Jim Gonyo,(518) 534-4351,htf1042@gmail.com,Self-distribute,,checked,,,,
